Observation #,t,d
1,170.0,0
2,208.0,1
3,8.0,0
4,121.0,0
5,264.0,0
6,104.0,1
7,247.0,0
8,158.0,1
9,54.0,0
10,119.0,0
11,183.0,1
12,236.0,0
13,230.0,0
14,181.0,1
15,212.0,1
16,173.0,0
17,359.0,0
18,147.0,0
19,174.0,0
20,111.0,1
21,47.0,1
22,236.0,1
23,40.0,0
24,117.0,1
25,286.0,0
26,82.0,1
27,60.0,0
28,155.0,1
29,65.0,0
30,246.0,0
31,50.0,0
32,205.0,1
33,109.0,1
34,63.0,1
35,143.0,1
36,28.0,0
37,279.0,0
38,181.0,0
39,140.0,1
40,146.0,1
41,101.0,1
42,84.0,1
43,5.0,0
44,144.0,0
45,132.0,1
46,69.0,0
47,91.0,1
48,22.0,0
49,76.0,1
50,7.0,0
51,109.0,1
52,90.0,0
53,132.0,1
54,94.0,1
55,168.0,1
56,13.0,0
57,66.0,0
58,198.0,1
59,124.0,1
60,95.0,0
61,121.0,1
62,142.0,1
63,113.0,1
64,72.0,1
65,186.0,1
66,125.0,0
67,75.0,1
68,84.0,0
69,74.0,0
70,174.0,1
71,245.0,1
72,181.0,1
73,91.0,0
74,92.0,1
75,23.0,0
76,121.0,1
77,110.0,1
78,127.0,1
79,145.0,1
80,72.0,0
81,10.0,0
82,27.0,0
83,215.0,1
84,79.0,1
85,215.0,0
86,359.0,0
87,306.0,1
88,87.0,0
89,100.0,1
90,105.0,0
91,8.0,0
92,303.0,0
93,128.0,0
94,153.0,0
95,203.0,1
96,242.0,1
97,171.0,1
98,349.0,0
99,109.0,0
100,208.0,1
