Observation #,t,d
1,223.0,1
2,108.0,0
3,240.0,1
4,222.0,1
5,100.0,0
6,230.0,0
7,190.0,1
8,229.0,0
9,89.0,0
10,174.0,1
11,179.0,0
12,217.0,1
13,229.0,1
14,119.0,0
15,68.0,1
16,75.0,1
17,36.0,1
18,233.0,0
19,307.0,1
20,277.0,0
21,290.0,0
22,201.0,0
23,197.0,1
24,258.0,0
25,89.0,1
26,243.0,0
27,8.0,0
28,121.0,0
29,215.0,1
30,116.0,0
31,139.0,1
32,172.0,0
33,54.0,0
34,119.0,0
35,34.0,1
36,236.0,0
37,230.0,0
38,245.0,1
39,261.0,0
40,173.0,0
41,167.0,1
42,147.0,0
43,174.0,0
44,62.0,1
45,262.0,1
46,263.0,1
47,40.0,0
48,93.0,1
49,154.0,1
50,168.0,1
51,60.0,0
52,190.0,1
53,65.0,0
54,82.0,1
55,50.0,0
56,105.0,1
57,257.0,1
58,135.0,1
59,163.0,0
60,28.0,0
61,104.0,1
62,85.0,1
63,258.0,1
64,96.0,1
65,117.0,1
66,170.0,1
67,5.0,0
68,80.0,1
69,292.0,0
70,69.0,0
71,208.0,0
72,22.0,0
73,80.0,0
74,7.0,0
75,290.0,1
76,50.0,1
77,138.0,0
78,89.0,1
79,148.0,1
80,13.0,0
81,66.0,0
82,183.0,1
83,64.0,1
84,95.0,0
85,229.0,1
86,139.0,1
87,214.0,0
88,79.0,1
89,232.0,1
90,125.0,0
91,155.0,1
92,84.0,0
93,74.0,0
94,281.0,1
95,146.0,1
96,112.0,1
97,91.0,0
98,36.0,1
99,23.0,0
100,17.0,1
